channel_id,channel_name,search_keyword,sample_video_title,published_at,subscribers,total_videos,total_views,description
UCl-Zrl0QhF66lu1aGXaTbfw,Neil Patel,AI SEO,AI-SEO Is Changing Everything in 2026,2025-10-30T13:01:55Z,1570000,2329,81934571,Learn digital marketing in just 5 minutes a day.
UCHbtzKwhxTCv2b85um7880A,James Dooley,LLM SEO,"Optimise AI Search Visibility | AI SEO, LLM SEO, ChatGPT (James Dooley Interviews Dan Petrovic)",2026-01-30T10:30:38Z,1340000,2345,8121763,"James Dooley is an entrepreneur based in the United Kingdom.

James Dooley's the CEO of PromoSEO, the founder of FatRank, and a digital landlord who invests in digital real estate.

James Dooley made "
UCWquNQV8Y0_defMKnGKrFOQ,Ahrefs,AI SEO,SEO in 2026: How I&#39;d Rank in Google in the AI Era,2026-03-18T12:01:39Z,664000,365,32728133,"Ahrefs TV publishes actionable digital marketing tutorials on SEO and YouTube marketing.

Through our videos, you'll learn how to grow organic traffic on Google, improve visibility on YouTube, and est"
UCVeuau7DLrg7zlAjxxDbdww,HubSpot Marketing,AI search optimization,"How to Optimize Your Business for ChatGPT, Perplexity &amp; AI Search (AEO Tutorial)",2025-11-18T15:00:10Z,608000,1094,41408966,"Hundreds of FREE Marketing Tools at your fingertips. Subscribe to take your business to the next level! 

Welcome to the official HubSpot Marketing YouTube channel. Your new home for expert marketing "
UCGpsgNbzdF7BECCVbB1COHw,Julian Goldie SEO,AI SEO,NotebookLM + Gemini AI SEO is INSANE!,2026-01-20T17:00:46Z,376000,4938,43522289,"My channel teaches you how to build backlinks, boost your website's traffic with SEO and most importantly, rank #1 on Google.

If you want actionable, easy-to-understand videos about Search Engine Opt"
UCqzK60-oUOEq36uU9B1MMUg,Julia McCoy,AI search optimization,Answer Engine Optimization (AEO): How to Rank #1 in AI Overviews &amp; Dominate Search,2025-12-12T19:05:42Z,285000,648,21047128,"The world's first 100% AI clone, humanly-run channel on AI news. Welcome to the rabbit hole. 🐇 🕳️ 

I've successfully cloned myself and my knowledge so I can stay in my zone of genius while helping mi"
UCLIJkb-i6o2ycexCluXqytg,StrategeMarketing,GEO SEO generative engine optimization,"GEO Generative Engine Optimization, le nouveau SEO ? (Emerger sur les IA)",2025-11-07T08:37:22Z,282000,196,13315534,StrategeMarketing.com est la première source de marketing qui rapporte. Abonnez-vous pour ne rien louper. Et mieux encore : inscrivez-vous sur le site et faites partie d'une communauté de marketeurs é
UC0yHbz4OxdQFwmVX2BBQqLg,AI Master,AI search optimization,AI Search Optimization Guide – How to Rank in ChatGPT &amp; Google,2025-11-07T15:41:07Z,268000,392,27656688,👇 Become an AI Master – All-in-one AI
UCrB7UFnkosBjAhOg3a9NdWw,Grace Leung,AI search optimization,AI Search: Make Your Brand the #1 Choice (Copy These SEO Methods),2025-12-05T13:01:25Z,134000,108,4707658,"I share all things digital marketing, AI Strategy, professional growth, tech & business! 👋

I’m Grace, a Digital Growth Consultant & Educator who is fascinated by anything digital and growth related. "
UCbHP6VGz859AqUebR1B_WLw,Payton Clark Smith,AI SEO,AI SEO 2026 (how to beat it),2025-10-28T14:04:37Z,131000,518,8135054,"Hi! I'm Payton👋🏻

I am a designer and entrepreneur that loves making helpful content for other designers and business owners!

I make lots of videos here on my channel about what I have learned from g"
UCNEsahyXxNJvYNsMhru-UzQ,Nathan Gotch,AI SEO,6 AI SEO Skills That Will Matter Most in 2026,2026-01-19T15:37:48Z,126000,336,5600214,"Win on Google, ChatGPT, and everywhere customers are searching right now.

It's true:

SEO is dead if you're still playing the old game. 

The new game is Search Everywhere Optimization.

And that's w"
UC2b2wgxm0vFjQfJJ0iRcFRw,Zubair Trabzada | AI Workshop,GEO SEO generative engine optimization,SEO Is Dead. Claude Code Just Built Its Replacement (It&#39;s FREE),2026-03-23T14:00:10Z,126000,266,5873635,"Welcome to AI Workshop, your ultimate destination for mastering no-code AI tools! Whether you're a complete beginner or an experienced professional, our channel is dedicated to helping you build power"
UCjzMc58B0E8ikYtW20_dUfg,Exposure Ninja,AI search optimization,How To Do an AI Search Optimisation Audit (Step-by-Step Guide),2025-12-09T10:59:57Z,107000,520,4973782,"Exposure Ninja is an award-winning search marketing agency specialising in SEO, AI Search and PPC. 

We grow B2B and B2C brands into industry leaders in search, and share outrageously good marketing v"
UCj0oJPeInOUgHdC5iUKLuxA,The Rise of Intelligence,AI SEO,AI Search ปิดลูกค้าได้มากกว่า SEO ถึง 6 เท่า,2026-03-17T10:01:21Z,87000,144,3919819,"Building AI-Driven Tech Talent in Thailand

Join Our Workshop or Inquire About Corporate Training through LINE ID: @rise-intelligence"
UCDxhBSgPvrFvyXLdpmygDhg,Edward Sturm,LLM SEO,AI &amp; LLM Visibility: A Practical Guide for Ranking in AI Results,2025-11-10T13:38:39Z,57000,3124,32209549,"SEO, digital marketing, organic social media marketing, growth hacks, and founder stories. Everything I'm doing to grow my companies and all the secrets I'm learning.

My background:
- Early viral vid"
UCXvRvqu8w7hA8hTDw__7y6g,Rankknar,LLM SEO,How To RANK In AI Overview &amp; LLM&#39;s (Complete 2026 SEO Guide),2026-02-20T06:15:35Z,46700,154,2486994,"I’m Vikas Kumar, a Digital Marketer with 8+ years of experience in SEO and online marketing.

On this channel, I share practical knowledge, real strategies, and insights on SEO, digital marketing, and"
UCAqcn2yiuWsTj22V1KmzZhw,Caleb Ulku,AI SEO,Build An SEO-Perfect Website With AI,2026-03-03T15:00:56Z,38000,406,1769778,"Your Gateway to Building an AI SEO Agency!

Are you aspiring to build your own digital marketing agency? Do you dream of mastering the art of SEO for both local and national landscapes? You're in the "
UCG9dtL6WtTNYf12Iwv3zKAA,Kasra Dash,LLM SEO,"LLM SEO Checklist: How to Rank in ChatGPT, Claude &amp; AI Overviews",2025-10-27T18:43:42Z,36800,740,703869,"Kasra Dash is an entrepreneur specialising in SEO and AI search. He is the founder of The Masterminders Conference and the creator of mySEO.app. On this channel, Kasra shares practical strategies, rea"
UCZUdIEAnmp3_s0XZDIkh9hg,Lawrence Dauchy ~ GEO Expert,GEO SEO generative engine optimization,What Are the Best Generative Engine Optimization (GEO) Agencies in Hialeah?,2026-04-19T11:59:14Z,36300,120,584,"If you’ve been feeling like Google, ChatGPT, Perplexity, Claude, and even TikTok search suddenly changed the rules, you’re not wrong.
We’ve officially entered the era of AI Search, GEO (Generative Eng"
UCWD0OMrAWdSUan3Hh_q9QCA,Nico | AI Ranking,GEO SEO generative engine optimization,"The Complete Guide to AI Search Optimization (SEO, AEO &amp; GEO Explained)",2026-02-24T01:07:06Z,35400,746,1850854,"We teach business owners, marketers, and SEO agencies how to rank across Google, ChatGPT, Perplexity, and beyond using practical AI tools and automation workflows that actually move the needle.

If yo"
UCu8_JcixaA7KrPAJLsGj_dA,George Vlasyev,GEO SEO generative engine optimization,Generative Engine Optimization Explained (New SEO Strategy in 2026),2026-01-21T17:44:59Z,33100,3141,13061204,"I help founders and teams figure out which software is actually worth using.

On this channel, I share honest reviews, side-by-side comparisons, and practical tutorials on AI tools, no-code platforms,"
UC70gUtMv9GXhW1cZEJphWKA,Search With Sean,LLM SEO,LLM vs Organic: Which Converts Better? | SEO Case Study | Chat With Will Guevara,2025-10-30T15:20:37Z,30900,641,387580,"Search With Sean – SEO, AI & Digital Marketing Insights

This channel is all about helping you stay on top of SEO, AI, and digital marketing trends. Expect regular updates, industry news, expert insig"
UCjs9WAasYxtEbeJuW4Rgy7g,Sorla - 超簡單行銷,AI SEO,忘掉Google SEO吧！2招超有感的AI SEO做法，品牌引用才是最關鍵！#geo  #aiseo  #超簡單行銷,2025-11-28T10:01:31Z,28800,163,809614,"HEY！我是 Sorla，一位 AI 行銷人，經營「超簡單行銷」頻道 🙌

本頻道的宗旨，是把看起來很複雜的行銷概念，拆成簡單好懂的語言，讓你一聽就懂、學了就能用。
一起踏進有趣又專業的行銷世界吧 😆

"
UC99hX2gAnyK7asCu6Vhi0vg,Vasco's SEO Tips,LLM SEO,How I Force LLMs to Mention my Site with AI SEO,2026-02-16T22:15:02Z,25600,887,1784432,"My name is Vasco and I share SEO tips that work for me.

This channel is meant to document what I do in SEO and hopefully inspire you to try it out.

🤖 My AI SEO Tool:
https://arvow.com/?utm_source=yo"
UCWkjhpUyMYy6ghcT6HuAxaQ,Lawrence Dauchy ~ AI Visibility,GEO SEO generative engine optimization,What Are the Best Generative Engine Optimization GEO Agencies in Zaanstad?,2026-04-19T11:57:09Z,14700,171,607,"NIVK.com is an expert geo agency, specialized in helping brands and online stores appear inside AI search results. 
Including ChatGPT, Google’s AI Overviews, Claude, Perplexity, and more.

If you want"
UCxBrIqTnwqNWvZL37Es-4YQ,JVZoo WSO Launch Review,AI search optimization,SerpSling AI Review Demo Webinar Replay Bonus - AI Search Optimization App,2026-04-08T07:05:30Z,9350,3562,456466,"Having struggled flat broke for 4 years in IM before I made it, I know better than anyone what it's like to never see success. I know what it's like to keep failing over and over when it seems like ev"
UCDidoS6DWZVYk-PdNtcY9PQ,Ahrefs Podcast,AI search optimization,"How to Win in AI Search (Real Data, No Hype) | Ryan Law (Ahrefs)",2025-10-28T14:01:33Z,8980,120,545031,"A free 2-hour consulting call with top founders and CMOs, disguised as a podcast interview. Hosted by Ahrefs' CMO, Tim Soulo."
UCLaELyEZz5YaKx2bv7B3C1w,Scott Redgate,GEO SEO generative engine optimization,What is GEO (Generative Engine Optimization)?,2026-04-02T11:51:48Z,6810,360,569518,"👇Jumpstart Your Online Marketing Efforts👇

Learn the best tips and strategies to help you manage your SEO & PPC in your spare time! You don't need to pay an agency thousands of dollars each month. You"
UCEYla_ISXZ0-Hd_htnsBn_g,Tim The SEO Guru,AI SEO,How I Use Claude Code for SEO to Rank #1 (in 10 minutes),2026-03-30T15:50:34Z,6130,490,256634,"I talk about SEO and marketing. I give you tips to growing your business through organic search traffic and AI.

The AI tool I'm using: https://arvow.com/?utm_source=tim
"
UCNQMxo3SBKfZgYyyBflEzQQ,AI Innovations With Maria Johnsen ,GEO SEO generative engine optimization,Generative Engine Optimization (GEO) Explained,2026-03-15T10:33:07Z,5360,750,3917163,"Watch the unorthodox side of AI, Robotics, Digital Marketing, and Futurism, sharing insights from my own research. If you're curious about how tech is shaping the future in unexpected ways, you're in "
UCTeWMJn2rvFuzkjk5x3-DuA,SEO Dạo,LLM SEO,RAG (Retrieval-Augmented Generation) Là Gì? Công Thức LLM + RAG = AI Search | AI SEO,2026-01-16T02:09:28Z,4110,431,449949,SEO Dạo là channel chia sẻ kiến thức về SEO từ căn bản đến nâng cao. Nếu bạn là một người mới tìm hiểu về SEO thì có thể tham khảo qua những video của tôi làm để có thêm kiến thức. Chúc các bạn thành 
UC32d67Ksy_pYmMWtjctC8lA,Ahrefs Tutorials,AI search optimization,"How to Rank in AI Search in 2026 (ChatGPT, AI Overviews, and more)",2026-02-12T20:02:38Z,3180,62,2040154,"Ahrefs Tutorials is your go-to resource for mastering our tools. Here we'll provide everything from simple how-tos to full-length workshops, webinars, and live events. On Ahrefs Tutorials, you’ll lear"
UCEHPervaHXCjacmL7d8Il-A,Saket Wahi,LLM SEO,LLM SEO &amp; Ranking on ChatGPT with Backlinks,2025-10-23T17:37:53Z,2880,63,87636,"Making advanced link building tactics, tips and tricks accessible! "
UCkSMKjtyVmXSTjTWkJT-CPg,Get Certificate Online,AI search optimization,AI Search Optimization (AEO) - Module 1,2025-11-30T05:54:20Z,2070,35,162374,"What is GetCertificate?
GetCertificate is an online platform offering accessible MOOC-style
certificate programs to learners worldwide. It aims to empower global
citizens with skills for the future th"
UCWCFro_BH8wEyC4pMF8ZIew,Flow Agency,LLM SEO,LLM SEO: How to Gain Visibility in LLMs (ChatGPT &amp; More),2025-12-01T11:31:06Z,386,50,9821,"Welcome to the Flow Agency YouTube channel! 

⭐️ We specialize in creating tailored Search marketing strategies for software and learning startups that leverage their content assets to achieve meaning"
UCdGhWSbGrDF5nJDI7NYU0GQ,Waltz Chen,GEO SEO generative engine optimization,Generative Engine Optimization (GEO): The Future of SEO -- 搜尋引擎優化 (SEO)、答案引擎優化 (AEO) 和生成式引擎優化 (GEO),2025-12-01T13:50:09Z,117,160,26174,"歡迎訂閱及無償使用。
自己製作及使用的簡報。
Talk about International and work-related matters"
UCZ57pXwP5CMBjrTMV-2GH-A,Lorraine Pawell - SEO & Content Strategy Services,GEO SEO generative engine optimization,The Hidden Rules of Generative Engine Optimization (GEO),2025-12-12T04:45:03Z,29,38,2107,"Are you a small business owner looking to attract more organic traffic and qualified leads? I dig into the nitty gritty details of SEO, content strategy, GPTs, inbound marketing, and more. Plus, I sha"
UCqAvDf0KHDZ7KgT9wEeLnXg,SeoGri,GEO SEO generative engine optimization,SEO Bitiyor mu? 😱 GEO (Generative Engine Optimization) Çağı Başladı!,2025-12-16T12:42:32Z,4,15,243,
